,Name,AVG Improvement
0,Carlos Gonzalez,4.48115
1,Brandon Phillips,3.1715
2,Nelson Cruz,3.01642
3,Brandon Inge,2.98412
4,Alex Gonzalez,2.85283
5,Juan Uribe,2.7351
6,Ryan Zimmerman,2.31744
7,Melvin Mora,2.24652
8,Jayson Werth,2.06857
9,Aubrey Huff,2.01527
10,Ramon Hernandez,1.93096
11,David Ortiz,1.90788
12,Asdrubal Cabrera,1.82513
13,Carl Crawford,1.81353
14,Yadier Molina,1.61101
15,Dexter Fowler,1.54558
16,Corey Patterson,1.50529
17,Jacoby Ellsbury,1.45921
18,Cristian Guzman,1.37762
19,Jose Reyes,1.2982
20,Melky Cabrera,1.26971
21,Ian Desmond,1.23848
22,Robinson Cano,1.19087
23,Gerardo Parra,1.12299
24,Michael Young,1.10563
25,Coco Crisp,1.09269
26,Carlos Beltran,1.05062
27,J. J. Hardy,1.03375
28,Matt Kemp,0.93044
29,Marco Scutaro,0.87289
30,Adrian Beltre,0.81667
31,Mike Lowell,0.76634
32,Alfonso Soriano,0.7384
33,Lance Berkman,0.70926
34,Adam Dunn,0.65414
35,Hanley Ramirez,0.59128
36,Andre Ethier,0.56219
37,Curtis Granderson,0.55367
38,Nick Markakis,0.48025
39,Adam Jones,0.47012
40,Chase Headley,0.40745
41,Marlon Byrd,0.3973
42,Bengie Molina,0.39474
43,Aaron Hill,0.38506
44,A. J. Pierzynski,0.3634
45,Mark Reynolds,0.32864
46,Alcides Escobar,0.32634
47,David DeJesus,0.29558
48,Justin Upton,0.27562
49,Jason Varitek,0.22042
